"","ID","Descripción","Asunto ID","Asunto Tipo","Usuario ID","Host","Creado el"," "
" ","26","updated","12","App\Ticket","5","127.0.0.1","2021-06-15T21:45:35.000000Z","Vista"
" ","25","updated","12","App\Ticket","1","127.0.0.1","2021-06-15T21:38:06.000000Z","Vista"
" ","24","created","12","App\Ticket","","127.0.0.1","2021-06-15T21:35:54.000000Z","Vista"
" ","23","created","11","App\Ticket","","127.0.0.1","2021-06-15T21:33:49.000000Z","Vista"
" ","22","created","10","App\Ticket","","127.0.0.1","2021-06-15T21:32:32.000000Z","Vista"
" ","21","updated","9","App\Ticket","5","127.0.0.1","2021-06-15T16:50:25.000000Z","Vista"
" ","20","updated","9","App\Ticket","1","127.0.0.1","2021-06-15T16:45:10.000000Z","Vista"
" ","19","created","9","App\Ticket","","127.0.0.1","2021-06-15T16:43:14.000000Z","Vista"
" ","18","updated","8","App\Ticket","6","127.0.0.1","2021-06-15T03:42:10.000000Z","Vista"
" ","17","updated","7","App\Ticket","1","127.0.0.1","2021-06-15T03:39:21.000000Z","Vista"
" ","16","updated","7","App\Ticket","1","127.0.0.1","2021-06-15T03:38:25.000000Z","Vista"
" ","15","updated","8","App\Ticket","1","127.0.0.1","2021-06-15T03:37:42.000000Z","Vista"
" ","14","deleted","6","App\Ticket","1","127.0.0.1","2021-06-15T03:28:47.000000Z","Vista"
" ","13","created","8","App\Ticket","","127.0.0.1","2021-06-15T03:28:06.000000Z","Vista"
" ","12","created","7","App\Ticket","","127.0.0.1","2021-06-15T07:51:38.000000Z","Vista"
" ","11","updated","6","App\Ticket","5","127.0.0.1","2021-06-15T07:17:13.000000Z","Vista"
" ","10","updated","6","App\Ticket","1","127.0.0.1","2021-06-15T07:11:25.000000Z","Vista"
" ","9","created","6","App\Ticket","","127.0.0.1","2021-06-15T07:07:50.000000Z","Vista"
" ","8","updated","5","App\Ticket","1","127.0.0.1","2021-06-11T22:10:29.000000Z","Vista"
" ","7","created","5","App\Ticket","","127.0.0.1","2021-06-11T22:08:49.000000Z","Vista"
" ","6","updated","4","App\Ticket","1","127.0.0.1","2021-06-11T06:05:38.000000Z","Vista"
" ","5","created","4","App\Ticket","","127.0.0.1","2021-06-11T05:57:50.000000Z","Vista"
" ","4","created","3","App\Ticket","","127.0.0.1","2021-06-11T05:53:10.000000Z","Vista"
" ","3","updated","1","App\Ticket","1","127.0.0.1","2021-06-11T04:51:00.000000Z","Vista"
" ","2","created","2","App\Ticket","","127.0.0.1","2021-06-11T04:47:22.000000Z","Vista"
" ","1","created","1","App\Ticket","","127.0.0.1","2021-06-11T03:03:49.000000Z","Vista"